Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,Riley Nash,CAR,F,165.0,286.0,,,142.0,419.0,365.0,309.0,260.0,168.0,363.0,214.0,143.0,340.0,Bottom 6,32,409.61666666667,4,5,23,1989-05-09,CAN,CAN,74,188,2007,1,21,21
2012-2013,Rob Klinkhammer,PHX,F,75.0,179.0,,,50.0,144.0,170.0,83.0,430.0,106.0,360.0,31.0,,219.0,Bottom 6,22,269.06666666667,5,4,26,1986-08-12,CAN,CAN,75,214,-,-,-,-
2012-2013,Roman Cervenka,CGY,F,357.0,418.0,194.0,,299.0,387.0,300.0,120.0,390.0,385.0,404.0,426.0,138.0,268.0,Bottom 6,39,512.48333333333,9,3,26,1985-12-10,CZE,CZE,71,201,-,-,-,-
2012-2013,Roman Horak,CGY,F,366.0,122.0,,,377.0,214.0,347.0,377.0,402.0,284.0,278.0,299.0,129.0,322.0,Bottom 6,20,290.55,2,3,21,1991-05-21,CZE,CZE,72,188,2009,5,6,127
2012-2013,Ruslan Fedotenko,PHI,F,315.0,263.0,,48.0,284.0,361.0,349.0,323.0,404.0,261.0,91.0,181.0,178.0,285.0,Bottom 6,47,590.96666666667,4,5,33,1979-01-18,UKR,UKR,73,188,-,-,-,-
2012-2013,Ryan Callahan,NYR,F,67.0,215.0,110.0,15.0,29.0,345.0,71.0,34.0,184.0,215.0,28.0,75.0,,20.0,First Line,45,967.9,16,6,27,1985-03-21,USA,USA,70,187,2004,4,29,127
2012-2013,Ryan Carter,NJD,F,344.0,66.0,,1.0,330.0,45.0,327.0,334.0,218.0,286.0,389.0,109.0,160.0,345.0,Bottom 6,44,574.31666666667,6,7,29,1983-08-03,USA,USA,73,205,-,-,-,-
2012-2013,Ryan Garbutt,DAL,F,94.0,343.0,,,248.0,383.0,58.0,242.0,409.0,129.0,415.0,60.0,,309.0,Bottom 6,36,357.18333333333,3,4,27,1985-08-12,CAN,CAN,72,195,-,-,-,-
2012-2013,Ryan Getzlaf,ANA,F,101.0,242.0,3.0,125.0,48.0,239.0,260.0,208.0,308.0,8.0,355.0,165.0,95.0,29.0,First Line,44,888.51666666667,15,25,27,1985-05-10,CAN,CAN,76,220,2003,1,19,19
2012-2013,Ryan Johansen,CBJ,F,293.0,190.0,172.0,,352.0,224.0,191.0,264.0,203.0,234.0,309.0,240.0,114.0,262.0,Second Line,40,643.36666666667,5,5,20,1992-07-31,CAN,CAN,75,218,2010,1,4,4
2012-2013,Ryan Jones,EDM,F,291.0,377.0,234.0,72.0,333.0,380.0,253.0,250.0,330.0,332.0,120.0,111.0,,240.0,Bottom 6,27,350.38333333333,2,3,28,1984-06-14,CAN,CAN,73,208,2004,4,13,111
2012-2013,Ryan Kesler,VAN,F,92.0,317.0,76.0,171.0,84.0,330.0,119.0,84.0,358.0,94.0,113.0,211.0,9.0,48.0,First Line,17,322.16666666667,4,5,28,1984-08-31,USA,USA,74,206,2003,1,23,23
2012-2013,Ryan Malone,TBL,F,267.0,265.0,117.0,,205.0,316.0,219.0,101.0,257.0,280.0,325.0,116.0,,144.0,Second Line,24,377.71666666667,6,0,32,1979-12-01,USA,USA,76,224,1999,4,19,115
2012-2013,Ryan Nugent-Hopkins,EDM,F,173.0,353.0,166.0,,46.0,413.0,235.0,200.0,133.0,52.0,152.0,363.0,131.0,97.0,First Line,40,754.61666666667,4,11,19,1993-04-12,CAN,CAN,72,195,2011,1,1,1
2012-2013,Ryan O'Reilly,COL,F,226.0,16.0,204.0,161.0,157.0,63.0,198.0,248.0,370.0,145.0,59.0,394.0,37.0,102.0,First Line,29,536.73333333333,6,6,21,1991-02-07,CAN,CAN,73,207,2009,2,3,33
2012-2013,Ryan Reaves,STL,F,402.0,5.0,,,394.0,3.0,399.0,315.0,54.0,373.0,419.0,2.0,,419.0,Fringe,43,319.41666666667,4,1,25,1987-01-20,CAN,CAN,74,225,2005,5,31,156
2012-2013,Ryan Smyth,EDM,F,172.0,407.0,149.0,133.0,286.0,389.0,245.0,290.0,316.0,190.0,340.0,310.0,170.0,199.0,Bottom 6,47,722.41666666667,2,9,36,1976-02-21,CAN,CAN,74,191,1994,1,6,6
2012-2013,Ryan White,MTL,F,392.0,64.0,,,376.0,82.0,331.0,399.0,407.0,389.0,409.0,21.0,156.0,400.0,Bottom 6,26,244.71666666667,1,0,24,1988-03-17,CAN,CAN,72,200,2006,3,3,66
2012-2013,Ryane Clowe,"NYR, SJS",F,91.0,156.0,43.0,,67.0,93.0,127.0,198.0,224.0,77.0,379.0,127.0,,124.0,Second Line,40,665.31666666667,3,9,29,1982-09-30,CAN,CAN,75,188,2001,6,10,175
2012-2013,Saku Koivu,ANA,F,340.0,379.0,31.0,88.0,185.0,295.0,408.0,301.0,371.0,183.0,288.0,336.0,42.0,208.0,Second Line,47,827.21666666667,8,10,37,1974-11-23,FIN,FIN,70,181,1993,1,21,21
2012-2013,Sam Gagner,EDM,F,268.0,423.0,46.0,166.0,254.0,425.0,186.0,131.0,165.0,101.0,263.0,384.0,108.0,89.0,First Line,48,931.75,14,11,23,1989-08-10,CAN,CAN,71,201,2007,1,6,6
2012-2013,Scott Gomez,SJS,F,225.0,163.0,64.0,210.0,94.0,133.0,249.0,376.0,229.0,121.0,290.0,420.0,48.0,257.0,Bottom 6,39,527.81666666667,2,5,32,1979-12-23,USA,USA,71,200,1998,1,27,27
2012-2013,Scott Hartnell,PHI,F,130.0,311.0,26.0,,81.0,297.0,69.0,30.0,246.0,199.0,403.0,102.0,,94.0,Second Line,32,507.86666666667,8,3,30,1982-04-18,CAN,CAN,74,215,2000,1,6,6
2012-2013,Scott Nichol,STL,F,416.0,6.0,,47.0,391.0,8.0,418.0,427.0,394.0,420.0,365.0,128.0,7.0,415.0,Bottom 6,30,293.35,1,0,37,1974-12-31,CAN,CAN,68,179,1993,11,12,272
2012-2013,Scottie Upshall,FLA,F,230.0,363.0,263.0,,307.0,324.0,56.0,164.0,115.0,366.0,236.0,144.0,,273.0,Bottom 6,27,364.48333333333,4,1,28,1983-10-07,CAN,CAN,72,200,2002,1,6,6
2012-2013,Sean Couturier,PHI,F,279.0,193.0,230.0,98.0,323.0,208.0,295.0,326.0,426.0,278.0,191.0,285.0,125.0,255.0,Second Line,46,730.9,4,6,19,1992-12-07,USA,CAN,75,211,2011,1,8,8
2012-2013,Sergei Kostitsyn,NSH,F,384.0,173.0,120.0,126.0,320.0,110.0,417.0,336.0,150.0,210.0,211.0,351.0,,243.0,Second Line,46,769.1,3,7,25,1987-03-20,BLR,BLR,72,196,2005,7,6,200
2012-2013,Shane Doan,PHX,F,93.0,348.0,99.0,199.0,97.0,300.0,63.0,89.0,124.0,150.0,314.0,112.0,,85.0,First Line,48,866.63333333333,13,7,35,1976-10-10,CAN,CAN,73,223,1995,1,7,7
2012-2013,Shawn Horcoff,EDM,F,360.0,430.0,154.0,93.0,223.0,432.0,390.0,257.0,372.0,350.0,349.0,318.0,79.0,211.0,Second Line,31,522.5,7,1,33,1978-09-17,CAN,CAN,73,210,1998,4,13,99
2012-2013,Shawn Matthias,FLA,F,197.0,283.0,222.0,135.0,280.0,319.0,121.0,140.0,160.0,222.0,310.0,218.0,87.0,205.0,Bottom 6,48,729.11666666667,14,5,24,1988-02-19,CAN,CAN,76,231,2006,2,17,47
2012-2013,Shawn Thornton,BOS,F,196.0,132.0,,,312.0,155.0,53.0,288.0,58.0,333.0,371.0,56.0,,358.0,Fringe,45,364.76666666667,3,1,35,1977-07-23,CAN,CAN,74,217,1997,7,29,190
2012-2013,Sidney Crosby,PIT,F,1.0,312.0,8.0,,1.0,283.0,24.0,9.0,278.0,1.0,62.0,381.0,27.0,1.0,First Line,36,759.75,15,28,25,1987-08-07,CAN,CAN,71,200,2005,1,1,1
2012-2013,Simon Gagne,"LAK, PHI",F,111.0,305.0,125.0,,76.0,273.0,118.0,175.0,159.0,177.0,302.0,337.0,,162.0,Bottom 6,38,537.23333333333,5,5,32,1980-02-29,CAN,CAN,73,195,1998,1,22,22
2012-2013,Stefan Matteau,NJD,F,254.0,309.0,,,387.0,202.0,149.0,375.0,63.0,208.0,406.0,89.0,,388.0,Bottom 6,17,156.18333333333,1,2,18,1994-02-23,USA,USA,74,208,2012,1,29,29
2012-2013,Stephen Gionta,NJD,F,396.0,15.0,,107.0,414.0,10.0,341.0,373.0,227.0,317.0,84.0,122.0,147.0,337.0,Bottom 6,48,625.21666666667,4,5,28,1983-10-09,USA,USA,67,177,-,-,-,-
2012-2013,Stephen Weiss,FLA,F,412.0,151.0,158.0,189.0,404.0,275.0,387.0,356.0,71.0,253.0,357.0,343.0,41.0,191.0,First Line,17,313.83333333333,1,2,29,1983-04-03,CAN,CAN,71,190,2001,1,4,4
2012-2013,Steve Begin,CGY,F,320.0,352.0,,105.0,249.0,367.0,262.0,207.0,290.0,418.0,221.0,52.0,136.0,360.0,Fringe,36,287.76666666667,4,0,34,1978-06-14,CAN,CAN,72,192,1996,2,14,40
2012-2013,Steve Bernier,NJD,F,314.0,17.0,217.0,219.0,342.0,17.0,286.0,279.0,108.0,250.0,69.0,134.0,,304.0,Bottom 6,47,646.83333333333,8,5,27,1985-03-31,CAN,CAN,75,222,2003,1,16,16
2012-2013,Steve Ott,BUF,F,331.0,405.0,161.0,86.0,347.0,370.0,376.0,338.0,399.0,196.0,387.0,49.0,20.0,206.0,First Line,48,890.78333333333,9,9,30,1982-08-19,CAN,CAN,72,193,2000,1,25,25
2012-2013,Steve Sullivan,"NJD, PHX",F,266.0,361.0,78.0,,83.0,256.0,266.0,196.0,12.0,258.0,327.0,393.0,,213.0,Bottom 6,42,611.26666666667,7,4,38,1974-07-06,CAN,CAN,69,165,1994,9,25,233
2012-2013,Steven Pinizzotto,VAN,F,435.0,270.0,,,431.0,244.0,411.0,434.0,201.0,436.0,426.0,24.0,,430.0,Bottom 6,12,119.9,0,0,28,1984-04-26,CAN,CAN,73,205,-,-,-,-
2012-2013,Steven Stamkos,TBL,F,74.0,331.0,60.0,,133.0,259.0,41.0,3.0,88.0,61.0,150.0,270.0,90.0,4.0,First Line,48,1057.1,29,17,22,1990-02-07,CAN,CAN,72,182,2008,1,1,1
2012-2013,Sven Baertschi,CGY,F,206.0,314.0,,,146.0,368.0,305.0,252.0,375.0,102.0,114.0,325.0,,247.0,Bottom 6,20,267.96666666667,3,4,19,1992-10-05,CHE,CHE,71,190,2011,1,13,13
2012-2013,T.J. Oshie,STL,F,207.0,9.0,14.0,5.0,204.0,32.0,202.0,186.0,341.0,82.0,22.0,242.0,195.0,76.0,First Line,30,572.8,7,7,25,1986-12-23,USA,USA,72,187,2005,1,24,24
2012-2013,TJ Galiardi,SJS,F,157.0,160.0,,186.0,160.0,191.0,138.0,226.0,297.0,221.0,257.0,194.0,193.0,234.0,Bottom 6,36,499.33333333333,5,6,24,1988-04-22,CAN,CAN,74,185,2007,2,25,55
2012-2013,Tanner Glass,PIT,F,414.0,255.0,,87.0,417.0,245.0,400.0,425.0,366.0,403.0,312.0,23.0,,394.0,Bottom 6,48,483.46666666667,1,0,28,1983-11-29,CAN,CAN,73,213,2003,9,4,265
2012-2013,Taylor Beck,NSH,F,185.0,148.0,,,181.0,189.0,94.0,230.0,264.0,273.0,296.0,308.0,,149.0,Second Line,16,257.5,3,2,21,1991-05-13,CAN,CAN,74,203,2009,3,9,70
2012-2013,Taylor Hall,EDM,F,5.0,410.0,53.0,,36.0,410.0,13.0,18.0,146.0,9.0,20.0,350.0,,8.0,First Line,45,837.91666666667,16,25,20,1991-11-14,CAN,CAN,73,210,2010,1,1,1
2012-2013,Taylor Pyatt,NYR,F,256.0,211.0,220.0,226.0,126.0,248.0,284.0,243.0,339.0,348.0,232.0,107.0,,290.0,Bottom 6,48,628.81666666667,6,4,31,1981-08-19,CAN,CAN,76,230,1999,1,8,8
2012-2013,Teddy Purcell,TBL,F,50.0,371.0,108.0,,73.0,313.0,157.0,161.0,141.0,6.0,213.0,430.0,,103.0,Second Line,48,803.65,11,20,26,1985-09-08,CAN,CAN,74,195,-,-,-,-
2012-2013,Teemu Hartikainen,EDM,F,376.0,384.0,188.0,,292.0,395.0,340.0,343.0,361.0,334.0,394.0,204.0,,404.0,Bottom 6,23,243.06666666667,1,1,22,1990-05-03,FIN,FIN,73,214,2008,6,12,163
2012-2013,Teemu Selanne,ANA,F,171.0,409.0,9.0,,251.0,353.0,95.0,41.0,129.0,42.0,161.0,423.0,151.0,84.0,Second Line,46,721.85,12,10,42,1970-07-03,FIN,FIN,72,209,1988,1,10,10
2012-2013,Thomas Vanek,BUF,F,45.0,432.0,24.0,,166.0,424.0,33.0,6.0,168.0,15.0,255.0,404.0,,23.0,First Line,38,699.41666666667,20,14,28,1984-01-19,AUT,AUT,74,214,2003,1,5,5
2012-2013,Tim Brent,CAR,F,400.0,109.0,207.0,221.0,318.0,217.0,394.0,395.0,311.0,397.0,281.0,182.0,59.0,369.0,Bottom 6,30,293.8,0,0,28,1984-03-10,CAN,CAN,72,188,2004,3,10,75
2012-2013,Tim Jackman,CGY,F,170.0,76.0,260.0,,279.0,85.0,86.0,325.0,154.0,166.0,313.0,17.0,,381.0,Fringe,42,319.18333333333,1,4,30,1981-11-14,USA,USA,74,188,2001,2,8,38
2012-2013,Tim Kennedy,SJS,F,407.0,155.0,,,379.0,181.0,298.0,360.0,252.0,429.0,61.0,108.0,181.0,372.0,Bottom 6,13,176.68333333333,2,0,26,1986-04-30,USA,USA,70,175,2005,6,19,181
2012-2013,Tim Wallace,CAR,F,403.0,320.0,,,384.0,286.0,424.0,414.0,82.0,355.0,81.0,26.0,,417.0,Bottom 6,28,280.8,1,1,28,1984-08-06,USA,USA,73,207,-,-,-,-
2012-2013,Tom Kostopoulos,NJD,F,388.0,4.0,,172.0,281.0,1.0,337.0,371.0,222.0,414.0,144.0,87.0,,391.0,Bottom 6,15,136.45,1,0,33,1979-01-24,CAN,CAN,72,197,1999,7,18,204
2012-2013,Tom Pyatt,TBL,F,319.0,145.0,,51.0,308.0,235.0,317.0,249.0,367.0,349.0,25.0,333.0,152.0,267.0,Bottom 6,43,584.01666666667,8,6,25,1987-02-14,CAN,CAN,71,185,2005,4,16,107
2012-2013,Tom Sestito,"PHI, VAN",F,428.0,400.0,,,425.0,373.0,415.0,167.0,424.0,432.0,423.0,40.0,,427.0,Fringe,30,192.86666666667,3,0,24,1987-09-28,USA,USA,77,228,2006,3,22,85
2012-2013,Tom Wandell,DAL,F,349.0,3.0,,208.0,348.0,43.0,201.0,363.0,368.0,404.0,39.0,202.0,111.0,378.0,Fringe,18,151.95,1,0,25,1987-01-29,SWE,SWE,73,200,2005,5,21,146
2012-2013,Tomas Fleischmann,FLA,F,194.0,308.0,30.0,182.0,338.0,274.0,116.0,141.0,84.0,33.0,90.0,392.0,197.0,69.0,First Line,48,899.23333333333,12,15,28,1984-05-16,CZE,CZE,73,192,2002,2,33,63
2012-2013,Tomas Kopecky,FLA,F,307.0,223.0,97.0,139.0,355.0,254.0,218.0,183.0,288.0,200.0,106.0,349.0,161.0,152.0,Second Line,47,831.21666666667,15,7,30,1982-02-05,SVK,SVK,75,210,2000,2,8,38
2012-2013,Tomas Plekanec,MTL,F,116.0,266.0,84.0,76.0,187.0,215.0,97.0,144.0,309.0,127.0,318.0,354.0,68.0,55.0,First Line,47,902.91666666667,14,10,29,1982-10-31,CZE,CZE,71,190,2001,3,8,71
2012-2013,Tomas Tatar,DET,F,131.0,2.0,,,182.0,6.0,67.0,54.0,349.0,139.0,64.0,330.0,,231.0,Bottom 6,18,204.73333333333,4,2,21,1990-12-01,SVK,SVK,70,173,2009,2,30,60
2012-2013,Tomas Vincour,"COL, DAL",F,354.0,129.0,,,354.0,84.0,267.0,295.0,143.0,377.0,217.0,104.0,,375.0,Bottom 6,17,150.63333333333,2,0,21,1990-11-19,CZE,CZE,74,204,2009,5,8,129
2012-2013,Tommy Wingels,SJS,F,176.0,47.0,,157.0,115.0,102.0,130.0,299.0,180.0,303.0,30.0,53.0,,229.0,Bottom 6,42,597.8,5,5,24,1988-04-12,USA,USA,72,200,2008,6,26,177
2012-2013,Torrey Mitchell,MIN,F,328.0,52.0,,142.0,345.0,54.0,301.0,300.0,355.0,329.0,49.0,185.0,192.0,331.0,Bottom 6,45,472.43333333333,4,3,27,1985-01-30,CAN,CAN,71,186,2004,4,28,126
2012-2013,Travis Moen,MTL,F,391.0,194.0,,39.0,381.0,186.0,422.0,383.0,347.0,364.0,160.0,110.0,,352.0,Bottom 6,45,524.46666666667,2,2,30,1982-04-06,CAN,CAN,74,215,2000,5,25,155
2012-2013,Travis Zajac,NJD,F,287.0,58.0,173.0,100.0,235.0,24.0,322.0,335.0,188.0,266.0,230.0,361.0,113.0,204.0,First Line,48,937.58333333333,7,7,27,1985-05-13,CAN,CAN,74,185,2004,1,20,20
2012-2013,Trevor Lewis,LAK,F,290.0,31.0,251.0,18.0,353.0,18.0,169.0,351.0,199.0,360.0,77.0,143.0,199.0,294.0,Bottom 6,48,729.75,5,6,25,1987-01-08,USA,USA,73,201,2006,1,17,17
2012-2013,Troy Brouwer,WSH,F,327.0,176.0,34.0,137.0,269.0,180.0,230.0,82.0,310.0,204.0,209.0,85.0,164.0,113.0,First Line,47,871.26666666667,19,11,27,1985-08-17,CAN,CAN,75,213,2004,7,21,214
2012-2013,Tuomo Ruutu,CAR,F,66.0,416.0,237.0,,26.0,422.0,173.0,88.0,182.0,157.0,301.0,65.0,198.0,157.0,Bottom 6,17,259.06666666667,4,3,29,1983-02-16,FIN,FIN,72,200,2001,1,9,9
2012-2013,Tye McGinn,PHI,F,250.0,101.0,,,266.0,41.0,122.0,136.0,175.0,408.0,9.0,213.0,,297.0,Bottom 6,18,228.95,3,0,22,1990-07-29,CAN,CAN,75,218,2010,4,29,119
2012-2013,Tyler Bozak,TOR,F,333.0,420.0,136.0,148.0,105.0,426.0,407.0,235.0,298.0,238.0,92.0,237.0,31.0,163.0,First Line,46,934.28333333333,12,8,26,1986-03-19,CAN,CAN,73,187,-,-,-,-
2012-2013,Tyler Ennis,BUF,F,159.0,345.0,122.0,,270.0,352.0,152.0,104.0,271.0,98.0,129.0,366.0,153.0,100.0,Second Line,47,840.25,10,9,22,1989-10-06,CAN,CAN,69,160,2008,1,26,26
2012-2013,Tyler Johnson,TBL,F,329.0,218.0,,,351.0,139.0,428.0,231.0,391.0,219.0,256.0,189.0,132.0,308.0,Bottom 6,14,183.03333333333,3,2,22,1990-07-29,USA,USA,68,185,-,-,-,-
2012-2013,Tyler Kennedy,PIT,F,38.0,210.0,113.0,,127.0,118.0,7.0,156.0,210.0,134.0,124.0,225.0,,168.0,Bottom 6,46,573.21666666667,6,1,26,1986-07-15,CAN,CAN,71,185,2004,4,1,99
2012-2013,Tyler Seguin,BOS,F,11.0,197.0,133.0,,21.0,62.0,11.0,31.0,178.0,91.0,181.0,396.0,191.0,66.0,Second Line,48,816.73333333333,16,8,20,1992-01-31,CAN,CAN,73,205,2010,1,2,2
2012-2013,Valtteri Filppula,DET,F,137.0,221.0,146.0,203.0,103.0,135.0,283.0,177.0,50.0,149.0,34.0,400.0,46.0,155.0,Second Line,41,728.81666666667,9,6,28,1984-03-20,FIN,FIN,72,189,2002,3,32,95
2012-2013,Vernon Fiddler,DAL,F,229.0,183.0,,94.0,358.0,304.0,303.0,366.0,422.0,164.0,231.0,241.0,44.0,266.0,Bottom 6,46,591.3,4,10,32,1980-05-09,CAN,CAN,71,205,-,-,-,-
2012-2013,Viktor Stalberg,CHI,F,10.0,114.0,244.0,,55.0,129.0,16.0,60.0,25.0,67.0,207.0,217.0,,146.0,Bottom 6,47,663.7,9,11,26,1986-01-17,SWE,SWE,75,209,2006,6,8,161
2012-2013,Vincent Lecavalier,TBL,F,104.0,358.0,98.0,,155.0,354.0,106.0,67.0,147.0,27.0,197.0,183.0,43.0,53.0,Second Line,39,697.43333333333,10,15,32,1980-04-21,CAN,CAN,76,215,1998,1,1,1
2012-2013,Vinny Prospal,CBJ,F,249.0,170.0,103.0,,221.0,216.0,238.0,159.0,98.0,185.0,368.0,293.0,189.0,114.0,Second Line,48,793.26666666667,12,5,37,1975-02-17,CZE,CZE,74,191,1993,3,19,71
2012-2013,Vladimir Sobotka,STL,F,281.0,80.0,,36.0,236.0,39.0,332.0,357.0,333.0,233.0,304.0,114.0,28.0,261.0,Bottom 6,48,741.9,8,7,25,1987-07-02,CZE,CZE,70,191,2005,4,15,106
2012-2013,Vladimir Tarasenko,STL,F,71.0,72.0,180.0,,274.0,42.0,90.0,85.0,20.0,38.0,97.0,298.0,,194.0,Bottom 6,38,509.58333333333,8,9,20,1991-12-13,RUS,RUS,73,228,2010,1,16,16
2012-2013,Wayne Simmonds,PHI,F,140.0,337.0,23.0,,139.0,301.0,81.0,14.0,137.0,151.0,280.0,154.0,,98.0,Second Line,45,703.68333333333,15,8,24,1988-08-26,CAN,CAN,74,184,2007,2,31,61
2012-2013,Wojtek Wolski,WSH,F,178.0,192.0,270.0,,114.0,111.0,141.0,209.0,142.0,231.0,188.0,332.0,,238.0,Bottom 6,27,360.45,4,4,26,1986-02-24,POL,CAN,75,215,2004,1,21,21
2012-2013,Zac Rinaldo,PHI,F,399.0,249.0,,,422.0,287.0,383.0,365.0,388.0,298.0,390.0,1.0,,406.0,Fringe,32,268.15,3,2,22,1990-06-15,CAN,CAN,70,192,2008,6,27,178
2012-2013,Zach Boychuk,"CAR, NSH, PIT",F,232.0,403.0,,,120.0,366.0,145.0,192.0,149.0,347.0,104.0,130.0,,326.0,Bottom 6,13,160.05,1,1,22,1989-10-04,CAN,CAN,70,185,2008,1,14,14
2012-2013,Zach Parise,MIN,F,72.0,27.0,165.0,99.0,167.0,35.0,30.0,25.0,70.0,43.0,60.0,306.0,,17.0,First Line,48,992.0,18,14,28,1984-07-28,USA,USA,71,195,2003,1,17,17
2012-2013,Zack Kassian,VAN,F,342.0,424.0,242.0,,287.0,388.0,296.0,289.0,273.0,337.0,352.0,92.0,,348.0,Bottom 6,39,525.73333333333,7,2,21,1991-01-24,CAN,CAN,75,211,2009,1,13,13
2012-2013,Zack Smith,OTT,F,214.0,219.0,,202.0,164.0,222.0,154.0,275.0,267.0,331.0,311.0,88.0,54.0,250.0,Bottom 6,48,727.1,4,5,24,1988-04-05,CAN,CAN,74,208,2008,3,18,79
2012-2013,Zenon Konopka,MIN,F,430.0,235.0,,223.0,420.0,185.0,425.0,432.0,423.0,431.0,432.0,105.0,4.0,424.0,Fringe,37,312.13333333333,0,0,31,1981-01-02,CAN,CAN,72,213,-,-,-,-
